gap,zPrime,zeta
0.0038561934810719964,0,5
-4.7136207264517e-16,0.1,5
0.02300381854383549,0.2,5
0.1996977985221863,0.3,5
0.4745612153363549,0.4,5
0.6676643222275842,0.5,5
0.3163375373429102,0.6,5
0.25859720098944255,0.7,5
0.005210837138646454,0.8,5
0.04959192850319837,0.9,5
0.0,1.0,5
0.4461159925756482,1.0,5
0.0,1.0,5
0.1320061691941901,1.0,5
1.1873394235823267,1.0,5
0.0911444713313152,1.0,5
0.06311936676005203,1.0,5
0.12839505614144286,1.0,5
0.02649970421507497,1.0,5
0.11247263039646602,1.0,5
2.5455733086570707,1.0,5
